name,attack,defence,group
Netherlands,0.303,0.303,A
Denmark,0.018,0.018,A
Paraguay,-0.22,-0.22,A
Saudi Arabia,-0.33,-0.33,A
Argentina,0.477,0.477,B
Colombia,0.11,0.11,B
Australia,-0.11,-0.11,B
Ghana,-0.257,-0.257,B
Mexico,-0.018,-0.018,C
Switzerland,0.028,0.028,C
Nigeria,-0.092,-0.092,C
Panama,-0.312,-0.312,C
USA,0.037,0.037,D
Japan,0.073,0.073,D
Peru,-0.183,-0.183,D
South Africa,-0.275,-0.275,D
Belgium,0.266,0.266,E
Ecuador,-0.037,-0.037,E
Tunisia,-0.202,-0.202,E
Jamaica,-0.348,-0.348,E
Spain,0.513,0.513,F
Croatia,0.183,0.183,F
Turkey,-0.064,-0.064,F
Uzbekistan,-0.293,-0.293,F
France,0.458,0.458,G
Uruguay,0.101,0.101,G
Sweden,-0.083,-0.083,G
Algeria,-0.202,-0.202,G
England,0.385,0.385,H
Korea Republic,-0.018,-0.018,H
Egypt,-0.128,-0.128,H
Iran,-0.183,-0.183,H
Portugal,0.33,0.33,I
Austria,0.0,0.0,I
Serbia,-0.073,-0.073,I
Costa Rica,-0.293,-0.293,I
Germany,0.284,0.284,J
Italy,0.193,0.193,J
Norway,-0.055,-0.055,J
New Zealand,-0.44,-0.44,J
Brazil,0.367,0.367,K
Senegal,0.037,0.037,K
Poland,-0.101,-0.101,K
Cameroon,-0.238,-0.238,K
Canada,-0.055,-0.055,L
Morocco,0.147,0.147,L
Ivory Coast,-0.119,-0.119,L
Qatar,-0.367,-0.367,L
